id,age,city,value,order_date,start_time,end_time,name,email,qty,unit_price,score
89,,san francisco,38.0,17-04-2023,2022-02-25 13:00,2022-02-25 14:22, Irene ,irene@yahoo.com,4,13,98
90,,Austin,38.0,2022/05/11,2023-01-08 07:00,2023-01-08 08:37, Charlie ,charlie@yahoo.com,2,7,33
91,,Los Angeles,20.0,2021-03-03,2022-12-19 11:00,2022-12-19 11:45, Tina ,tina@abc.com,5,11,69
92,,seattle,,2021/01/11,2021-08-15 09:00,2021-08-15 10:27, Frank ,frank@abc.com,5,10,45
93,21.0,seattle,,"January 19, 2022",2021-05-03 12:00,2021-05-03 14:42, Bob ,bob@yahoo.com,4,15,92
94,,seattle,,2023/12/10,2023-01-08 13:00,2023-01-08 13:58,QUINN,quinn@yahoo.com,2,15,54
95,,miami,,20-11-2023,2022-08-26 14:00,2022-08-26 16:53,BOB,bob@yahoo.com,5,12,63
96,68.0,Chicago,,"November 21, 2022",2022-05-22 08:00,2022-05-22 09:38,quinn,quinn@gmail.com,2,14,83
97,,miami,71.0,2021-12-14,2022-05-09 15:00,2022-05-09 16:12, Oliver ,oliver@gmail.com,3,9,78
98,,Chicago,,2023/12/04,2022-04-02 06:00,2022-04-02 08:11,NORA,nora@gmail.com,2,10,73
99,,Los Angeles,39.0,2023/05/23,2023-01-01 12:00,2023-01-01 13:46,frank,frank@abc.com,2,15,69
100,,seattle,22.0,2021-06-30,2021-09-03 06:00,2021-09-03 07:05, Leo ,leo@abc.com,5,9,96
101,,seattle,,"February 02, 2023",2023-04-08 13:00,2023-04-08 15:14,quinn,quinn@yahoo.com,4,13,93
102,55.0,Los Angeles,,2023-12-04,2023-04-14 10:00,2023-04-14 11:43,TINA,tina@mail.com,1,8,99
103,41.0,Seattle,89.0,23-05-2022,2022-06-06 13:00,2022-06-06 15:23,tina,tina@yahoo.com,1,15,58
104,,san francisco,14.0,2023-06-02,2021-12-12 12:00,2021-12-12 13:53,grace,grace@yahoo.com,5,9,92
105,65.0,Seattle,,"April 27, 2023",2022-10-07 12:00,2022-10-07 13:39, Peter ,peter@gmail.com,2,10,52
106,,Austin,,2021/04/15,2023-05-03 13:00,2023-05-03 15:52, Quinn ,quinn@yahoo.com,5,14,37
107,47.0,Los Angeles,79.0,"January 25, 2021",2021-07-01 14:00,2021-07-01 16:22, Henry ,henry@gmail.com,5,14,35
108,,Seattle,12.0,"December 20, 2021",2022-12-31 10:00,2022-12-31 12:05, Leo ,leo@gmail.com,3,15,97
109,65.0,Chicago,,2021-04-25,2022-10-15 13:00,2022-10-15 13:36, Rita ,rita@yahoo.com,2,12,61
110,,Seattle,99.0,28-06-2021,2021-04-19 12:00,2021-04-19 12:44,frank,frank@mail.com,4,8,43
111,26.0,Austin,,2023/08/05,2021-11-22 15:00,2021-11-22 16:31,frank,frank@gmail.com,3,14,36
112,28.0,NYC,,"December 04, 2023",2021-01-07 08:00,2021-01-07 10:17,bob,bob@mail.com,3,14,100
113,55.0,newyork,,"August 30, 2023",2021-11-22 08:00,2021-11-22 09:55, Mia ,mia@yahoo.com,4,9,63
114,39.0,LA,,2023/08/03,2023-02-01 10:00,2023-02-01 10:40,eve,eve@abc.com,1,8,48
115,22.0,Seattle,,"January 04, 2021",2021-12-20 07:00,2021-12-20 09:31,henry,henry@yahoo.com,2,8,62
116,58.0,San Francisco,,29-11-2022,2022-09-26 12:00,2022-09-26 12:48,alice,alice@abc.com,5,7,55
117,,Austin,79.0,2022/11/03,2022-07-04 10:00,2022-07-04 10:56,nora,nora@mail.com,4,7,96
118,,newyork,,"March 15, 2022",2021-08-06 11:00,2021-08-06 12:18,alice,alice@yahoo.com,1,11,69
119,31.0,Seattle,33.0,2023-10-27,2023-05-19 08:00,2023-05-19 09:20,grace,grace@abc.com,1,12,96
120,,Seattle,,31-07-2021,2021-05-12 13:00,2021-05-12 15:24, Grace ,grace@mail.com,1,8,90
121,37.0,newyork,,10-12-2022,2022-03-24 14:00,2022-03-24 15:39,grace,grace@gmail.com,2,11,94
122,39.0,Austin,76.0,"September 29, 2022",2022-03-21 15:00,2022-03-21 17:42,DAVID,david@abc.com,1,14,96
123,31.0,newyork,71.0,"April 21, 2021",2021-07-18 12:00,2021-07-18 13:30,mia,mia@mail.com,1,8,45
124,,Chicago,,"April 08, 2022",2021-09-10 08:00,2021-09-10 10:11, Charlie ,charlie@mail.com,2,13,34
125,,san francisco,41.0,02-11-2023,2021-11-02 08:00,2021-11-02 10:59,tina,tina@yahoo.com,2,7,96
126,48.0,Boston,84.0,2021-09-11,2021-04-07 09:00,2021-04-07 10:55, Frank ,frank@yahoo.com,3,15,62
127,,new york,62.0,03-07-2023,2021-06-03 09:00,2021-06-03 11:06,rita,rita@gmail.com,2,11,45
128,,San Francisco,12.0,27-04-2022,2022-05-09 09:00,2022-05-09 11:52, Henry ,henry@yahoo.com,4,14,70
129,,,80.0,2023/03/10,2022-11-07 07:00,2022-11-07 08:12, Henry ,henry@gmail.com,2,13,76
130,69.0,LA,,"November 01, 2023",2021-04-20 10:00,2021-04-20 11:05, Henry ,henry@gmail.com,4,8,32
131,64.0,Chicago,,"December 19, 2022",2021-03-22 10:00,2021-03-22 11:13,david,david@abc.com,4,10,67
132,55.0,Austin,,21-08-2021,2021-09-04 14:00,2021-09-04 16:31,tina,tina@gmail.com,3,10,68
133,,chicago,47.0,2022/03/04,2022-04-12 09:00,2022-04-12 10:22, Karen ,karen@gmail.com,2,15,64
134,21.0,San Francisco,35.0,19-09-2023,2022-07-01 08:00,2022-07-01 09:30,jack,jack@abc.com,3,15,32
135,,miami,30.0,"February 27, 2021",2022-06-24 08:00,2022-06-24 10:02,alice,alice@mail.com,2,12,51
136,42.0,san francisco,19.0,06-06-2023,2022-09-11 14:00,2022-09-11 17:00,tina,tina@yahoo.com,4,10,40
137,19.0,San Francisco,,"November 26, 2022",2022-10-04 06:00,2022-10-04 07:17,grace,grace@gmail.com,1,7,61
138,33.0,LA,,2023/07/07,2023-06-09 07:00,2023-06-09 09:26,alice,alice@mail.com,3,15,83
139,70.0,newyork,97.0,2021-01-28,2023-03-12 13:00,2023-03-12 13:47,sam,sam@gmail.com,3,11,45
140,,Boston,,"September 11, 2022",2022-04-05 09:00,2022-04-05 11:14,henry,henry@gmail.com,3,11,61
141,70.0,san francisco,,30-11-2021,2023-06-04 12:00,2023-06-04 14:37,FRANK,frank@gmail.com,3,14,63
142,,Boston,14.0,2023/06/06,2021-10-21 14:00,2021-10-21 16:12, Sam ,sam@yahoo.com,5,14,93
143,53.0,,,2023-09-27,2022-03-06 10:00,2022-03-06 12:22,IRENE,irene@mail.com,1,7,81
144,23.0,new york,,2023-04-12,2022-08-31 11:00,2022-08-31 13:38,oliver,oliver@yahoo.com,1,7,36
145,54.0,miami,,23-08-2023,2021-06-11 15:00,2021-06-11 16:13,CHARLIE,charlie@yahoo.com,1,11,31
146,39.0,Los Angeles,24.0,"December 09, 2022",2022-12-02 12:00,2022-12-02 13:09,david,david@gmail.com,1,9,78
147,,,21.0,2023-12-26,2022-09-16 12:00,2022-09-16 13:51,tina,tina@gmail.com,1,12,72
148,33.0,Austin,,"January 25, 2021",2022-12-12 06:00,2022-12-12 06:34,grace,grace@mail.com,1,12,38
149,,chicago,12.0,"February 05, 2022",2022-08-24 07:00,2022-08-24 09:20,DAVID,david@abc.com,5,11,96
150,,newyork,65.0,02-04-2021,2022-03-16 11:00,2022-03-16 12:23,charlie,charlie@mail.com,5,8,78
151,47.0,miami,74.0,22-05-2021,2021-11-19 14:00,2021-11-19 14:33,mia,mia@mail.com,2,11,32
152,63.0,San Francisco,,"October 06, 2021",2021-06-01 15:00,2021-06-01 16:58, Karen ,karen@yahoo.com,5,12,56
153,51.0,chicago,,2021/03/05,2021-02-05 07:00,2021-02-05 09:24,henry,henry@abc.com,5,14,33
154,63.0,newyork,81.0,04-11-2022,2021-05-08 15:00,2021-05-08 17:30,nora,nora@mail.com,3,13,50
155,56.0,NYC,,16-09-2023,2023-01-21 09:00,2023-01-21 11:29,DAVID,david@gmail.com,2,8,56
156,,Miami,96.0,"January 31, 2021",2021-01-06 12:00,2021-01-06 13:45,nora,nora@gmail.com,5,14,95
157,,Chicago,32.0,2023-03-24,2021-11-28 11:00,2021-11-28 13:45, Grace ,grace@abc.com,5,7,59
158,,,68.0,2021-04-21,2022-07-30 12:00,2022-07-30 13:21, Irene ,irene@gmail.com,1,11,36
159,,chicago,,2023/02/13,2022-07-12 14:00,2022-07-12 14:42, Henry ,henry@gmail.com,3,7,84
160,,chicago,,2022/01/04,2021-08-29 10:00,2021-08-29 11:42,jack,jack@mail.com,4,13,93
161,,Austin,79.0,2022-10-15,2021-01-26 10:00,2021-01-26 11:34,EVE,eve@mail.com,3,14,88
162,,Boston,57.0,04-08-2021,2021-01-06 15:00,2021-01-06 15:41, Nora ,nora@abc.com,2,10,79
163,,seattle,,"June 05, 2023",2021-05-31 13:00,2021-05-31 14:27,sam,sam@gmail.com,2,9,71
164,,Seattle,,"February 13, 2023",2021-02-01 09:00,2021-02-01 10:59, Charlie ,charlie@gmail.com,1,12,50
165,,Chicago,91.0,06-12-2022,2021-10-20 12:00,2021-10-20 14:18,PETER,peter@yahoo.com,4,10,64
166,,Chicago,30.0,2022-10-06,2021-01-11 08:00,2021-01-11 09:37,leo,leo@gmail.com,3,7,53
167,41.0,miami,,2023/06/23,2021-10-20 10:00,2021-10-20 12:43, David ,david@gmail.com,4,10,95
168,41.0,new york,,2021-05-24,2021-05-05 09:00,2021-05-05 09:38,henry,henry@mail.com,5,14,66
169,27.0,Los Angeles,,"December 02, 2022",2021-06-12 07:00,2021-06-12 08:47,IRENE,irene@abc.com,1,14,32
170,30.0,miami,11.0,2023/02/21,2021-02-16 08:00,2021-02-16 08:57, Nora ,nora@gmail.com,5,7,97
171,23.0,chicago,,2021-10-23,2022-08-11 15:00,2022-08-11 17:15,HENRY,henry@yahoo.com,3,11,83
172,27.0,newyork,37.0,2022/06/29,2021-04-01 08:00,2021-04-01 09:00,MIA,mia@gmail.com,3,9,92
173,,chicago,,"June 26, 2022",2022-06-03 07:00,2022-06-03 09:39,grace,grace@yahoo.com,1,14,71
174,23.0,Miami,,26-12-2023,2021-02-26 08:00,2021-02-26 09:19, Leo ,leo@abc.com,2,15,82
175,52.0,seattle,,"October 06, 2023",2021-04-10 12:00,2021-04-10 13:55,GRACE,grace@abc.com,2,10,66
176,,chicago,,"February 08, 2021",2021-05-31 11:00,2021-05-31 13:47, Oliver ,oliver@gmail.com,4,9,36
177,,miami,67.0,22-08-2021,2022-02-23 11:00,2022-02-23 12:00,tina,tina@abc.com,3,7,97
178,,san francisco,,2022-12-22,2022-04-20 07:00,2022-04-20 07:44, Eve ,eve@yahoo.com,4,11,55
179,37.0,Los Angeles,98.0,2023/01/07,2021-10-26 09:00,2021-10-26 09:54,TINA,tina@mail.com,5,9,78
180,,LA,97.0,"August 31, 2021",2021-03-21 15:00,2021-03-21 15:47,frank,frank@gmail.com,3,7,98
181,52.0,Austin,,29-10-2022,2021-06-20 08:00,2021-06-20 09:05,frank,frank@gmail.com,5,12,83
182,47.0,Chicago,59.0,"October 06, 2023",2022-01-02 09:00,2022-01-02 09:33, Jack ,jack@gmail.com,4,7,59
183,43.0,new york,,30-10-2021,2023-05-20 08:00,2023-05-20 10:21,grace,grace@mail.com,1,12,87
184,61.0,san francisco,57.0,28-01-2023,2023-05-25 06:00,2023-05-25 08:07,rita,rita@abc.com,4,12,82
185,68.0,,50.0,2022-11-17,2021-08-10 14:00,2021-08-10 15:11, Grace ,grace@mail.com,3,13,75
186,,Boston,66.0,24-06-2023,2022-07-31 09:00,2022-07-31 11:31,david,david@abc.com,1,12,74
187,,miami,57.0,2021/02/02,2022-04-09 09:00,2022-04-09 11:39,sam,sam@yahoo.com,3,10,54
188,,Boston,87.0,13-03-2021,2022-11-26 10:00,2022-11-26 12:32,oliver,oliver@yahoo.com,5,11,36
189,26.0,,,12-05-2022,2021-04-12 14:00,2021-04-12 16:30, Jack ,jack@yahoo.com,4,12,53
190,,Austin,34.0,"January 31, 2021",2021-10-26 10:00,2021-10-26 12:47, Grace ,grace@mail.com,4,9,66
191,52.0,Chicago,,2023/08/03,2021-12-19 15:00,2021-12-19 17:08, Peter ,peter@gmail.com,5,8,35
192,63.0,San Francisco,23.0,"May 06, 2023",2021-10-04 14:00,2021-10-04 14:51,KAREN,karen@gmail.com,1,11,85
193,,Austin,,2023/01/25,2022-03-04 12:00,2022-03-04 13:43,charlie,charlie@gmail.com,2,13,31
194,,Los Angeles,,"March 14, 2023",2023-02-05 14:00,2023-02-05 16:39,RITA,rita@abc.com,3,13,33
195,39.0,new york,,2022-01-26,2023-06-03 14:00,2023-06-03 15:07, Karen ,karen@mail.com,3,13,48
196,,seattle,,"June 16, 2022",2021-04-15 07:00,2021-04-15 07:31,sam,sam@gmail.com,1,14,87
197,24.0,chicago,,"July 12, 2022",2022-04-25 15:00,2022-04-25 17:44, Mia ,mia@gmail.com,5,14,42
198,,LA,42.0,2021-04-17,2023-03-10 11:00,2023-03-10 12:43,ALICE,alice@mail.com,3,12,68
199,52.0,newyork,21.0,2021/05/17,2023-01-21 13:00,2023-01-21 15:20,CHARLIE,charlie@gmail.com,1,11,33
200,65.0,Austin,39.0,2022/06/28,2023-01-18 11:00,2023-01-18 12:47, Peter ,peter@yahoo.com,5,7,39
